supplier_id,supplier_name,country,contact_person,phone,email,product_category,rating,contract_start_date,delivery_time_days,city,status,region
S00050,Bright Books Ltd,Bangladesh,Rumana Sarker,18683603350,muntasir.roy@yahoo.com,Business,4.3,2024-08-10 12:18:23,19,Faridpur,Suspended,Dhaka
S00051,Royal Publishing House,Bangladesh,Ayesha Karim,13804554330,hasan.sarker@yahoo.com,Exam Prep,3.4,2022-03-18 19:20:15,11,Rajbari,Inactive,Dhaka
S00052,Royal Books Ltd,Bangladesh,Tanvir Ahmed,17653145590,shaila.roy@gmail.com,Religious,3.21,2024-11-27 02:00:05,12,Cox's Bazar,Active,Chattogram
S00053,Ocean Supply Co,Bangladesh,Ayesha Roy,19515139140,fahim.nahar@gmail.com,Exam Prep,3.56,2024-12-15 19:38:01,10,Munshiganj,Active,Dhaka
S00054,Ocean Logistics,Bangladesh,Nusrat Patwary,17278004380,mim.islam@outlook.com,Academic,2.74,2022-01-16 12:09:50,8,Munshiganj,Active,Dhaka
S00055,Delta Logistics,Bangladesh,Farhan Sarker,14859399820,rahim.das@outlook.com,Academic,3.63,2021-02-17 13:09:30,3,Gopalganj,Active,Dhaka
S00056,Prime Supply Co,Bangladesh,Rahim Roy,14553909930,tasnima.ahmed@yahoo.com,Religious,2.61,2025-10-27 17:20:31,2,Manikganj,Active,Dhaka
S00057,Green Enterprises,Usa,Sadia Karim,14307412140,ayesha.jahan@outlook.com,Fiction,2.51,2022-02-25 13:56:35,15,Munshiganj,Inactive,Dhaka
S00058,Green Enterprises,Bangladesh,Rafi Roy,17822125990,shaila.chowdhury@gmail.com,Fiction,4.83,2022-01-08 08:18:24,18,Manikganj,Active,Dhaka
S00059,Global Books Ltd,Bangladesh,Rahim Khan,16224855460,sakib.jahan@gmail.com,Business,4.22,2023-08-29 05:46:45,2,Narayanganj,Active,Dhaka
S00060,Prime Books Ltd,Bangladesh,Sakib Islam,14387576940,farhan.bhuiyan@outlook.com,Exam Prep,3.9,2025-07-22 02:58:59,7,Manikganj,Suspended,Dhaka
S00061,Delta Logistics,China,Adib Sheikh,15163933400,rafi.talukder@gmail.com,Children,3.64,2019-11-30 11:24:05,12,Chittagong,Active,Chattogram
S00062,Bright Enterprises,Bangladesh,Mahin Rahman,16922532110,arif.sarker@yahoo.com,Biography,3.93,2025-11-21 07:19:56,14,Narayanganj,Active,Dhaka
S00063,Royal Enterprises,Bangladesh,Rumana Talukder,15686119200,,Business,4.73,2021-12-15 12:39:39,15,Cox's Bazar,Active,Chattogram
S00064,Global Supply Co,Bangladesh,Karim Islam,14159162250,nabil.ahmed@gmail.com,Children,4.13,2019-03-07 10:04:33,14,Brahmanbaria,Active,Chattogram
S00065,Green Logistics,Bangladesh,Hasan Das,16385033730,muntasir.nahar@yahoo.com,Academic,4.01,2021-03-01 20:26:35,3,Chandpur,Active,Chattogram
S00066,Green Enterprises,China,Rahim Sheikh,13578085650,rahim.karim@yahoo.com,Self Help,3.65,2022-03-28 03:16:57,6,Brahmanbaria,Active,Chattogram
S00067,Global Enterprises,Bangladesh,Adib Talukder,19162233380,imran.miah@outlook.com,Children,3.36,2023-09-26 20:02:34,10,Noakhali,Active,Chattogram
S00068,Ocean Distributors,Bangladesh,Mahin Karim,18751203410,hasan.bhuiyan@outlook.com,Business,4.25,2022-12-18 15:04:19,3,Manikganj,Active,Dhaka
S00069,Bright Books Ltd,Bangladesh,Mahin Rahman,13882182680,shaila.mollik@yahoo.com,Exam Prep,4.95,2019-12-14 12:54:22,8,Rangamati,Active,Chattogram
S00070,National Enterprises,Bangladesh,Nafis Talukder,13916126520,sifat.chowdhury@yahoo.com,Programming,3.56,2022-06-01 22:12:25,8,Kishoreganj,Active,Dhaka
S00071,Metro Publishing House,Uk,Adib Mollik,17403740730,adib.sarker@gmail.com,Fiction,3.48,2020-08-17 20:40:47,19,Gopalganj,Inactive,Dhaka
S00072,Prime Distributors,Bangladesh,Sadia Das,13649862800,mahin.rahman@gmail.com,Academic,3.48,2020-11-19 23:02:32,7,Feni,Active,Chattogram
S00073,Metro Supply Co,Bangladesh,Nusrat Rahman,13647927020,rafi.nahar@gmail.com,Exam Prep,3.56,2023-12-24 06:39:42,19,Lakshmipur,Active,Chattogram
S00074,Global Publishing House,Usa,Imran Mollik,18340569700,rumana.khan@outlook.com,Programming,4.98,2024-08-15 04:46:40,14,Gazipur,Active,Dhaka
S00075,Royal Books Ltd,Uk,Arif Miah,14302354690,hasan.sarker@gmail.com,Academic,4.27,2020-02-04 07:25:39,14,Brahmanbaria,Active,Chattogram
S00076,Royal Publishing House,Bangladesh,Tanjim Talukder,13324731630,raisa.uddin@yahoo.com,Children,3.4,2023-03-20 16:02:37,16,Tangail,Active,Dhaka
S00077,Metro Distributors,Bangladesh,Tasnima Karim,17372265320,mahin.sheikh@outlook.com,Religious,3.43,2021-12-14 16:20:58,17,Madaripur,Active,Dhaka
S00078,Delta Logistics,,Sakib Hossain,18837360410,nabil.jahan@outlook.com,Children,3.58,2021-05-10 12:13:44,6,Tangail,Active,Dhaka
S00079,Eastern Enterprises,Bangladesh,Adib Sarker,,nafis.hossain@yahoo.com,Business,2.59,2023-12-28 02:57:18,9,Chittagong,Active,Chattogram
S00080,Green Supply Co,Bangladesh,Tanvir Ahmed,15518058170,adib.amin@gmail.com,Children,3.82,2020-09-28 00:08:26,11,Bandarban,Active,Chattogram
S00081,Metro Logistics,Bangladesh,Imran Miah,16592132110,nusrat.mollik@yahoo.com,Self Help,4.53,2024-05-10 12:53:33,19,Tangail,Active,Dhaka
S00082,Delta Distributors,Usa,Hasan Chowdhury,18451562690,tamim.sarker@yahoo.com,Religious,4.15,2021-10-21 07:32:50,2,Lakshmipur,Active,Chattogram
S00083,Delta Supply Co,Usa,Adib Jahan,19252715080,fahim.roy@gmail.com,Self Help,3.0,2019-08-31 12:23:27,10,Madaripur,Active,Dhaka
S00084,National Publishing House,Uk,Shaila Hossain,19260190420,tasnima.karim@outlook.com,Academic,4.32,2024-07-17 23:42:14,5,Brahmanbaria,Active,Chattogram
S00085,National Books Ltd,China,Farhan Jahan,18451222580,shuvo.jahan@outlook.com,Business,4.3,2024-12-17 16:49:07,5,Munshiganj,Active,Dhaka
S00086,Eastern Books Ltd,,Jannat Rahman,19216275190,nusrat.sheikh@gmail.com,Fiction,3.16,2022-12-10 04:56:38,15,Rangamati,Active,Chattogram
S00087,Ocean Supply Co,India,Farhan Miah,16911692240,,Religious,4.06,2024-01-25 11:21:24,5,Manikganj,Active,Dhaka
S00088,Bright Enterprises,India,Imran Sarker,13338513350,ayesha.sheikh@gmail.com,Self Help,4.03,2020-01-13 03:32:58,16,Khagrachari,Active,Chattogram
S00089,Ocean Publishing House,Bangladesh,Tanjim Nahar,13389146280,fahim.chowdhury@outlook.com,Fiction,4.6,2021-05-17 05:41:14,19,Chandpur,Active,Chattogram
S00090,Metro Enterprises,Bangladesh,Shaila Roy,15657001570,ayesha.das@gmail.com,Exam Prep,2.84,2021-06-13 08:10:50,15,Madaripur,Active,Dhaka
S00091,Metro Publishing House,Bangladesh,Nabil Miah,14242816010,adib.karim@outlook.com,Religious,2.99,2024-05-06 06:43:19,5,Cox's Bazar,Active,Chattogram
S00092,Delta Logistics,Bangladesh,Nusrat Mollik,14944563680,hasan.bhuiyan@outlook.com,Self Help,3.71,2021-06-18 19:28:00,4,Madaripur,Active,Dhaka
S00093,Delta Enterprises,Bangladesh,Karim Uddin,19299263870,arif.sheikh@yahoo.com,Academic,2.61,2024-02-05 12:45:56,9,Manikganj,Active,Dhaka
S00094,Eastern Distributors,Bangladesh,Muntasir Chowdhury,14148776040,rafi.karim@yahoo.com,Biography,3.54,2021-02-23 07:04:21,11,Narayanganj,Active,Dhaka
S00095,Prime Distributors,,Karim Sheikh,19735535530,farhan.sheikh@outlook.com,Business,4.47,2020-06-20 06:22:39,16,Chittagong,Active,Chattogram
S00096,Bright Logistics,Bangladesh,Imran Sarker,18676851100,nusrat.islam@outlook.com,Fiction,2.87,2022-11-28 11:28:08,9,Narsingdi,Active,Dhaka
S00097,Bright Distributors,Bangladesh,Sami Ahmed,13708417060,nafis.jahan@gmail.com,Children,3.65,2019-07-26 13:44:29,5,Bandarban,Active,Chattogram
S00098,Metro Books Ltd,India,Hasan Roy,17398326890,tanvir.mollik@gmail.com,Biography,4.97,2024-02-21 21:39:02,19,Bandarban,Active,Chattogram
S00099,National Books Ltd,Uk,Hasan Khan,17681784330,nusrat.jahan@yahoo.com,Self Help,3.76,2019-03-16 09:14:14,18,Kishoreganj,Active,Dhaka
S00100,National Trade Group,Bangladesh,Sifat Chowdhury,16268022900,sakib.islam@gmail.com,Children,3.75,2025-12-29 02:35:57,13,Madaripur,Active,Dhaka
S00101,National Trade Group,Bangladesh,Tamim Nahar,13943934880,shuvo.patwary@gmail.com,Programming,3.9,2024-11-14 09:32:46,14,Munshiganj,Active,Dhaka
S00102,Delta Logistics,Bangladesh,Nayeem Khan,14371614000,nusrat.islam@outlook.com,Exam Prep,2.97,2025-05-13 21:06:28,18,Madaripur,Active,Dhaka
S00103,Delta Publishing House,India,Rafi Patwary,17329667860,raisa.ahmed@yahoo.com,Religious,2.87,2024-08-29 01:59:20,10,Noakhali,Active,Chattogram
S00104,Ocean Trade Group,Uk,Tasnima Sheikh,15740046510,sami.sheikh@yahoo.com,Children,4.19,2019-12-31 22:33:24,4,Narsingdi,Active,Dhaka
S00105,Prime Supply Co,Bangladesh,Sakib Bhuiyan,17690803840,sami.chowdhury@gmail.com,Business,3.49,2024-03-17 08:43:36,12,Narsingdi,Active,Dhaka
S00106,Prime Supply Co,India,Sadia Nahar,13527741190,tanvir.jahan@gmail.com,Business,3.22,2021-08-22 09:11:11,10,Chittagong,Active,Chattogram
S00107,Ocean Enterprises,Bangladesh,Imran Nahar,17236312540,karim.talukder@gmail.com,Fiction,2.58,2024-12-27 10:42:38,16,Cox's Bazar,Active,Chattogram
S00108,Ocean Publishing House,Bangladesh,Tamim Karim,14786188530,shaila.nahar@yahoo.com,Biography,4.62,2025-01-16 21:25:17,15,Chittagong,Active,Chattogram
S00109,Global Books Ltd,China,Fahim Sarker,17830064150,sakib.amin@gmail.com,Children,2.58,2025-09-05 18:22:23,10,Bandarban,Active,Chattogram
S00110,Delta Trade Group,Bangladesh,Farhan Hossain,14997842840,,Exam Prep,4.37,2022-02-26 17:11:46,8,Rangamati,Active,Chattogram
S00111,Eastern Enterprises,Bangladesh,Nusrat Talukder,14685866140,nayeem.islam@gmail.com,Biography,3.45,2020-05-08 12:29:46,9,Lakshmipur,Active,Chattogram
S00112,Ocean Publishing House,Bangladesh,Shuvo Talukder,14398125950,shaila.rahman@yahoo.com,Self Help,4.0,2019-11-16 16:40:14,13,Kishoreganj,Active,Dhaka
S00113,Ocean Distributors,Bangladesh,Rumana Hossain,18508761100,nusrat.uddin@yahoo.com,Self Help,3.12,2020-02-27 21:57:21,13,Gopalganj,Inactive,Dhaka
S00114,Royal Logistics,Usa,Shaila Bhuiyan,13271377550,mim.islam@gmail.com,Children,2.89,2025-12-10 01:09:53,11,Narsingdi,Suspended,Dhaka
S00115,Green Publishing House,China,Nayeem Ahmed,17273706780,tanvir.islam@yahoo.com,Children,3.83,2023-02-07 17:09:59,11,Khagrachari,Active,Chattogram
S00116,Delta Supply Co,Bangladesh,Ayesha Sheikh,14587564710,tamim.sarker@gmail.com,Self Help,4.24,2021-06-18 04:49:49,19,Rangamati,Active,Chattogram
S00117,Global Supply Co,Bangladesh,Raisa Rahman,14661868130,ayesha.hossain@gmail.com,Exam Prep,2.99,2022-02-22 09:33:22,6,Chittagong,Active,Chattogram
S00118,Delta Supply Co,India,Muntasir Ahmed,17759743470,mahin.rahman@outlook.com,Exam Prep,3.59,2020-03-17 21:18:54,5,Chittagong,Active,Chattogram
S00119,Bright Enterprises,Bangladesh,Sifat Khan,19212044510,tamim.roy@outlook.com,Business,3.61,2022-12-29 18:24:46,16,Madaripur,Active,Dhaka
S00120,National Logistics,Uk,Sami Chowdhury,15310595990,tanvir.sarker@yahoo.com,Programming,3.04,2021-12-24 00:20:45,18,Brahmanbaria,Active,Chattogram
S00121,Eastern Logistics,Bangladesh,Nayeem Rahman,,rahim.nahar@outlook.com,Academic,3.91,2024-08-01 19:08:00,12,Kishoreganj,Active,Dhaka
S00122,Global Logistics,Bangladesh,Shuvo Ahmed,13722933020,nayeem.roy@yahoo.com,Fiction,2.86,2019-02-24 01:55:28,9,Tangail,Active,Dhaka
S00123,Bright Books Ltd,Uk,Nayeem Rahman,13346755310,sadia.patwary@gmail.com,Programming,3.77,2025-07-09 11:05:35,8,Kishoreganj,Active,Dhaka
S00124,Ocean Distributors,Bangladesh,Rafi Hossain,18555404690,sakib.uddin@outlook.com,Children,2.78,2019-06-05 01:08:00,10,Faridpur,Active,Dhaka
S00125,Ocean Books Ltd,Bangladesh,Tasnima Miah,18614070830,nafis.nahar@yahoo.com,Children,3.71,2021-12-02 21:57:22,2,Rangamati,Active,Chattogram
S00126,Eastern Enterprises,Bangladesh,Imran Miah,18606309330,raisa.mollik@yahoo.com,Academic,3.28,2021-05-20 15:27:17,11,Lakshmipur,Active,Chattogram
S00127,Eastern Distributors,Bangladesh,Mahin Sarker,13164135440,tanvir.karim@yahoo.com,Children,3.63,2024-01-10 00:51:36,6,Chittagong,Active,Chattogram
S00128,Bright Publishing House,Bangladesh,Nayeem Sarker,18134741470,hasan.das@gmail.com,Biography,3.58,2023-08-10 09:29:22,6,Chandpur,Active,Chattogram
S00129,Bright Books Ltd,Bangladesh,Tanjim Islam,15114493370,muntasir.nahar@outlook.com,Exam Prep,4.77,2020-05-18 00:26:57,12,Madaripur,Active,Dhaka
S00130,Eastern Logistics,China,Raisa Ahmed,15635623310,,Biography,3.72,2022-06-08 07:09:44,19,Bandarban,Active,Chattogram
S00131,Ocean Publishing House,,Sakib Chowdhury,14996414170,rahim.roy@yahoo.com,Fiction,4.55,2022-09-28 07:33:17,5, Cumilla ,Active,
S00132,Prime Trade Group,Bangladesh,Rafi Amin,13157297230,,Religious,3.06,2022-03-31 16:17:36,18,Tangail,Active,Dhaka
S00133,Metro Logistics,Bangladesh,Mim Karim,14844307210,rumana.nahar@outlook.com,Biography,3.38,2019-02-25 17:35:32,11,Manikganj,Active,Dhaka
S00134,Delta Distributors,India,Nayeem Sheikh,15675544990,ayesha.uddin@gmail.com,Business,2.69,2020-03-31 05:36:29,19,Narsingdi,Active,Dhaka
S00135,Bright Logistics,China,Karim Talukder,13740545400,tanvir.roy@gmail.com,Religious,3.55,2022-07-11 14:04:29,8,Khagrachari,Inactive,Chattogram
S00136,Prime Books Ltd,Bangladesh,Rumana Talukder,14872591030,jannat.patwary@outlook.com,Exam Prep,4.17,2020-10-27 17:49:48,19,Manikganj,Active,Dhaka
S00137,Eastern Trade Group,Bangladesh,Tasnima Sarker,15265412860,nafis.roy@gmail.com,Self Help,4.6,2022-10-25 21:07:11,13,Rangamati,Active,Chattogram
S00138,Delta Enterprises,Bangladesh,Rahim Amin,15638675630,hasan.bhuiyan@yahoo.com,Biography,3.91,2020-02-23 08:16:21,14,Cox's Bazar,Active,Chattogram
S00139,Delta Supply Co,,Ayesha Amin,15418472770,nabil.bhuiyan@outlook.com,Religious,4.1,2024-02-23 19:09:31,12,Lakshmipur,Active,Chattogram
S00140,Global Books Ltd,Bangladesh,Sami Patwary,18211408590,rumana.karim@outlook.com,Religious,2.94,2020-04-26 16:19:29,10,Tangail,Active,Dhaka
S00141,Prime Enterprises,Bangladesh,Fahim Mollik,15267524870,shuvo.khan@yahoo.com,Self Help,2.59,2023-07-19 01:59:41,11,Madaripur,Active,Dhaka
S00142,Bright Enterprises,India,Tanvir Das,16398574380,fahim.roy@outlook.com,Exam Prep,4.48,2024-11-08 09:34:35,17,Dhaka,Active,Dhaka
S00143,Delta Trade Group,Uk,Nusrat Amin,13163210030,farhan.talukder@outlook.com,Business,2.92,2021-07-05 01:29:21,16,Tangail,Active,Dhaka
S00144,Eastern Logistics,Uk,Adib Patwary,18151221880,adib.das@outlook.com,Religious,2.73,2019-12-23 12:12:42,2,Narsingdi,Active,Dhaka
S00145,Green Enterprises,Bangladesh,Sami Sarker,18924423620,muntasir.roy@gmail.com,Programming,4.84,2019-01-15 15:33:22,14,Gazipur,Active,Dhaka
S00146,Royal Publishing House,Bangladesh,Ayesha Sheikh,16798685580,arif.sarker@outlook.com,Fiction,4.91,2021-07-10 13:52:55,17,Noakhali,Active,Chattogram
S00147,Metro Distributors,India,Fahim Islam,19208384490,rahim.karim@gmail.com,Programming,4.04,2019-10-23 04:21:55,15,Rangamati,Active,Chattogram
S00148,Green Enterprises,India,Tasnima Karim,19949363120,tanvir.bhuiyan@outlook.com,Religious,3.45,2025-03-03 23:55:12,10,Narayanganj,Active,Dhaka
S00149,Royal Enterprises,Bangladesh,Shaila Amin,13149264470,shuvo.rahman@gmail.com,Biography,4.58,2025-10-23 03:25:57,8,Chittagong,Active,Chattogram
S00150,Prime Books Ltd,Usa,Karim Islam,18169901610,nayeem.rahman@gmail.com,Religious,3.01,2025-11-11 11:43:55,14,Narsingdi,Active,Dhaka
S00151,National Supply Co,Bangladesh,Rafi Jahan,17158280710,sadia.hossain@gmail.com,Children,3.57,2025-06-15 11:36:18,13,Shariatpur,Active,Dhaka
S00152,Global Trade Group,Uk,Sadia Ahmed,,tanvir.roy@yahoo.com,Biography,3.39,2023-02-08 15:23:50,8,Brahmanbaria,Active,Chattogram
S00153,Green Books Ltd,Bangladesh,Tamim Amin,13269704070,farhan.ahmed@gmail.com,Religious,4.78,2021-04-10 22:30:53,9,Narsingdi,Active,Dhaka
S00154,National Enterprises,Bangladesh,Sami Amin,16822046020,arif.jahan@gmail.com,Fiction,4.8,2022-02-15 09:12:53,8,Feni,Active,Chattogram
S00155,National Books Ltd,Bangladesh,Shuvo Bhuiyan,17367571830,ayesha.patwary@yahoo.com,Exam Prep,4.13,2020-10-23 15:04:29,2,Kishoreganj,Suspended,Dhaka
S00156,Bright Logistics,Bangladesh,Farhan Mollik,19692685340,rahim.uddin@outlook.com,Business,2.78,2024-11-17 15:49:11,2,Chittagong,Active,Chattogram
S00157,Eastern Publishing House,Bangladesh,Nayeem Islam,17256551900,shaila.talukder@yahoo.com,Business,3.71,2022-01-20 11:31:15,3,Rangamati,Active,Chattogram
S00158,Prime Logistics,,Sami Rahman,17986126530,sifat.sheikh@yahoo.com,Self Help,3.11,2021-09-11 09:04:31,9,Khagrachari,Active,Chattogram
S00159,Ocean Supply Co,,Mahin Das,16710210390,rafi.uddin@yahoo.com,Self Help,4.71,2023-10-30 11:40:52,11,Faridpur,Suspended,Dhaka
S00160,Metro Supply Co,India,Arif Ahmed,15136163410,sifat.nahar@yahoo.com,Programming,2.85,2021-07-01 01:14:12,9,Gazipur,Active,Dhaka
S00161,National Books Ltd,Bangladesh,Nabil Das,13880305030,nafis.das@yahoo.com,Business,2.64,2020-08-04 00:33:15,19,Chandpur,Active,Chattogram
S00162,Bright Trade Group,Bangladesh,Shaila Rahman,18428210460,rafi.talukder@yahoo.com,Self Help,4.26,2019-06-22 00:04:25,6,Noakhali,Active,Chattogram
S00163,Metro Publishing House,Uk,Mahin Miah,17103927250,shuvo.sheikh@gmail.com,Children,3.63,2019-04-08 01:47:48,9,Khagrachari,Active,Chattogram
