customer_id,customer_name,gender,age,city,region,signup_date,customer_segment,email,phone,loyalty_score,reader_group
C00033,Rumana Khan,Female,22,Tangail,Dhaka,4/1/2021 12:19,Gold,nusrat.miah@outlook.com,01397767399,61,Young
C00034,Raisa Amin,Male,56,Rajbari,Dhaka,8/4/2023 6:07,Platinum,rahim.hossain@yahoo.com,01414932707,92,Elderly
C00035,Tamim Sheikh,Male,50,Brahmanbaria,Chattogram,5/7/2022 23:58,Silver,imran.ahmed@outlook.com,01413913010,41,Professional
C00036,Raisa Uddin,Female,10,Tangail,Dhaka,5/4/2022 12:45,Bronze,tanvir.mollik@gmail.com,01490096577,36,Kids
C00037,Nabil Miah,Male,29,Narsingdi,Dhaka,4/23/2023 4:21,Silver,arif.uddin@outlook.com,00000000000,50,Young
C00038,Sakib Sheikh,Male,8,Narsingdi,Dhaka,12/5/2021 22:32,Gold,sifat.ahmed@gmail.com,00000000000,79,Kids
C00039,Mahin Sheikh,Male,22,Noakhali,Chattogram,2/10/2021 16:09,Platinum,sifat.roy@yahoo.com,01379190490,93,Young
C00040,Sami Chowdhury,Male,10,Khagrachari,Chattogram,1/14/2026 21:12,Gold,jannat.amin@outlook.com,01796586079,70,Kids
C00041,Muntasir Sarker,Male,38,Manikganj,Dhaka,5/31/2025 11:03,Bronze,shaila.bhuiyan@outlook.com,01759099105,39,Professional
C00042,Farhan Chowdhury,Male,21,Brahmanbaria,Chattogram,3/30/2023 8:20,Gold,tanjim.talukder@yahoo.com,01869049284,62,Young
C00043,Rumana Islam,Female,20,Dhaka,Dhaka,7/9/2025 1:19,Gold,nusrat.chowdhury@outlook.com,01365024897,69,Young
C00044,Tasnima Roy,Male,39,Dhaka,Dhaka,6/3/2026 20:54,Silver,hasan.sheikh@yahoo.com,01568906441,56,Professional
C00045,Jannat Roy,Female,23,Kishoreganj,Dhaka,2/24/2023 14:30,Gold,tanvir.uddin@outlook.com,01340924136,65,Young
C00046,Fahim Uddin,Male,27, Cumilla ,,11/7/2021 13:36,Gold,karim.talukder@gmail.com,01755794034,66,Young
C00047,Tanjim Sarker,Female,25,Lakshmipur,Chattogram,2/6/2022 3:30,Bronze,arif.sarker@yahoo.com,01866379371,34,Young
C00048,Jannat Hossain,Male,25,Chandpur,Chattogram,3/26/2026 10:13,Gold,rumana.miah@gmail.com,00000000000,80,Young
C00049,Sakib Das,Male,62,NAN,,11/10/2025 0:11,Gold,tasnima.bhuiyan@yahoo.com,01629829136,77,Elderly
C00050,Rahim Das,Male,21,Dhaka,Dhaka,10/23/2024 14:14,Bronze,tanjim.rahman@yahoo.com,01712641745,26,Young
C00051,Imran Ahmed,Male,23,Noakhali,Chattogram,9/10/2024 23:16,Bronze,nafis.roy@outlook.com,01490002542,38,Young
C00052,Fahim Jahan,Female,58,Dhaka,Dhaka,9/1/2022 8:34,Silver,jannat.uddin@outlook.com,01928406401,45,Elderly
C00053,Rumana Miah,Male,43,Noakhali,Chattogram,11/8/2023 10:29,Gold,ayesha.hossain@outlook.com,01914786946,69,Professional
C00054,Farhan Islam,Male,19,Dhaka,Dhaka,1/3/2023 2:33,Silver,shaila.rahman@outlook.com,01549354403,48,Young
C00055,Tanjim Jahan,Female,21,Dhaka,Dhaka,2/20/2023 2:05,Gold,hasan.sarker@gmail.com,01871617442,69,Young
C00056,Shaila Karim,Female,46,Shariatpur,Dhaka,12/16/2024 7:26,Silver,imran.amin@yahoo.com,01523442791,59,Professional
C00057,Rumana Sheikh,Male,18,Dhaka,Dhaka,12/9/2023 1:58,Gold,rumana.rahman@yahoo.com,01536942914,63,Young
C00058,Fahim Islam,Male,18,Dhaka,Dhaka,5/2/2023 17:50,Gold,nayeem.bhuiyan@gmail.com,01717205394,71,Young
C00059,Hasan Sheikh,Female,20,Brahmanbaria,Chattogram,5/12/2022 0:41,Gold,tasnima.talukder@yahoo.com,01565638576,67,Young
C00060,Tanvir Karim,Male,27,Chittagong,Chattogram,7/26/2024 14:38,Gold,tanvir.karim@gmail.com,01773741403,62,Young
C00061,Rahim Bhuiyan,Female,27,Kishoreganj,Dhaka,6/13/2023 19:19,Gold,adib.sheikh@yahoo.com,01556771807,72,Young
C00062,Tasnima Chowdhury,Male,56,Rajbari,Dhaka,4/10/2021 13:09,Gold,tasnima.jahan@gmail.com,01349998887,66,Elderly
C00063,Rafi Patwary,Female,61,Tangail,Dhaka,9/25/2024 13:33,Silver,hasan.hossain@outlook.com,01947726717,58,Elderly
C00064,Nayeem Jahan,Female,31,Dhaka,Dhaka,10/29/2022 6:26,Silver,nafis.roy@gmail.com,01978704377,54,Professional
C00065,Nusrat Jahan,Female,30,Narayanganj,Dhaka,3/29/2023 18:45,Platinum,tamim.nahar@yahoo.com,01711924054,96,Professional
C00066,Farhan Talukder,Female,54,Bandarban,Chattogram,5/20/2026 11:35,Silver,rahim.miah@yahoo.com,01779932749,54,Professional
C00067,Sami Das,Female,64,Khagrachari,Chattogram,9/23/2024 16:33,Platinum,tamim.roy@outlook.com,01713673797,87,Elderly
C00068,Tamim Das,Female,50,Munshiganj,Dhaka,5/14/2021 12:07,Silver,nabil.uddin@yahoo.com,01350618965,50,Professional
C00069,Arif Uddin,Female,47,Chandpur,Chattogram,1/8/2025 14:04,Gold,rahim.sarker@yahoo.com,01791528521,77,Professional
C00070,Rafi Mollik,Female,23,Rajbari,Dhaka,8/4/2022 4:37,Platinum,imran.miah@outlook.com,01658270888,94,Young
C00071,Tanjim Sheikh,Male,27,Chandpur,Chattogram,2/7/2025 9:06,Silver,karim.ahmed@gmail.com,01652824979,56,Young
C00072,Sifat Uddin,Female,7,Cox's Bazar,Chattogram,11/27/2022 0:25,Silver,rafi.mollik@yahoo.com,01727584780,50,Kids
C00073,Shaila Rahman,Female,40,Rajbari,Dhaka,2/6/2024 12:37,Silver,mahin.patwary@yahoo.com,01552264371,54,Professional
C00074,Arif Rahman,Female,63,Dhaka,Dhaka,10/12/2024 17:07,Gold,sifat.sheikh@outlook.com,01654363669,62,Elderly
C00075,Raisa Patwary,Female,67,Khagrachari,Chattogram,1/2/2022 13:31,Gold,raisa.patwary@gmail.com,01582068724,68,Elderly
C00076,Tanvir Hossain,Female,35,Tangail,Dhaka,9/28/2021 3:56,Gold,jannat.nahar@outlook.com,01963525311,61,Professional
C00077,Sifat Karim,Female,49,Tangail,Dhaka,10/24/2024 17:06,Silver,jannat.rahman@outlook.com,01648781548,54,Professional
C00078,Tanjim Chowdhury,Female,5,Rajbari,Dhaka,5/23/2021 21:00,Platinum,karim.sarker@gmail.com,01969923982,97,Kids
C00079,Nabil Uddin,Female,28,Dhaka,Dhaka,6/17/2025 17:32,Silver,nayeem.patwary@yahoo.com,01886496502,58,Young
C00080,Muntasir Chowdhury,Male,53,Narsingdi,Dhaka,5/12/2023 7:47,Silver,rumana.khan@outlook.com,01959075686,51,Professional
C00081,Mim Rahman,Male,10,Shariatpur,Dhaka,7/7/2021 10:42,Gold,farhan.sheikh@yahoo.com,01591773607,77,Kids
C00082,Hasan Jahan,Male,50,Manikganj,Dhaka,2/27/2025 11:28,Silver,fahim.karim@gmail.com,01439069013,58,Professional
C00083,Muntasir Uddin,Male,47,Dhaka,Dhaka,11/17/2025 4:19,Platinum,ayesha.sarker@yahoo.com,01962637521,87,Professional
C00084,Mahin Talukder,Female,29, Cumilla ,,5/14/2021 16:43,Platinum,tasnima.nahar@gmail.com,01651999183,97,Young
C00085,Sadia Nahar,Female,32,Narayanganj,Dhaka,2/15/2026 7:20,Gold,rafi.mollik@outlook.com,01953148115,68,Professional
C00086,Shaila Nahar,Male,20,Chandpur,Chattogram,4/4/2023 16:18,Silver,jannat.amin@gmail.com,01320314574,57,Young
C00087,Rahim Nahar,Female,40,Dhaka,Dhaka,8/21/2024 10:52,Bronze,tanjim.sarker@gmail.com,01436965754,28,Professional
C00088,Tamim Ahmed,Female,46,Rajbari,Dhaka,6/14/2022 14:38,Silver,tanjim.miah@gmail.com,00000000000,45,Professional
C00089,Shaila Roy,Female,28,Dhaka,Dhaka,8/9/2021 19:07,Gold,mim.patwary@gmail.com,01610378505,66,Young
C00090,Hasan Bhuiyan,Male,32,Chittagong,Chattogram,5/16/2026 23:26,Silver,raisa.ahmed@gmail.com,01617391853,41,Professional
C00091,Tamim Sheikh,Male,19,Tangail,Dhaka,7/23/2024 12:53,Bronze,mim.das@yahoo.com,01614512679,33,Young
C00092,Sami Sarker,Female,28,Narayanganj,Dhaka,5/22/2022 22:45,Gold,ayesha.sarker@gmail.com,01384350681,63,Young
C00093,Sifat Roy,Female,21,Rangamati,Chattogram,12/9/2022 20:44,Gold,mahin.sarker@outlook.com,01397523704,76,Young
C00094,Arif Roy,Female,33,Madaripur,Dhaka,2/15/2025 14:26,Silver,adib.hossain@yahoo.com,01684357081,58,Professional
C00095,Tanjim Nahar,Female,69,Munshiganj,Dhaka,8/27/2022 15:32,Gold,nafis.patwary@yahoo.com,01452013835,78,Elderly
C00096,Adib Khan,Male,12,Chittagong,Chattogram,9/29/2024 13:21,Gold,sadia.jahan@yahoo.com,01948782131,73,Kids
C00097,Ayesha Amin,Male,53,Rajbari,Dhaka,3/15/2021 2:05,Platinum,tasnima.sheikh@gmail.com,01341679309,83,Professional
C00098,Sadia Roy,Female,52,Brahmanbaria,Chattogram,5/17/2026 10:22,Platinum,adib.nahar@yahoo.com,01958960497,100,Professional
C00099,Shaila Das,Male,57,Rangamati,Chattogram,12/11/2024 23:17,Platinum,farhan.khan@yahoo.com,01566574166,100,Elderly
C00100,Shaila Karim,Female,19,Chandpur,Chattogram,11/1/2022 2:04,Gold,rahim.rahman@outlook.com,01417377062,75,Young
C00101,Farhan Mollik,Female,28,Dhaka,Dhaka,2/1/2024 13:25,Silver,muntasir.sheikh@gmail.com,01676720437,54,Young
C00102,Fahim Roy,Female,26,Faridpur,Dhaka,12/12/2021 17:19,Gold,fahim.roy@gmail.com,01422382098,63,Young
C00103,Nabil Chowdhury,Female,60,Khagrachari,Chattogram,6/16/2023 4:14,Platinum,jannat.nahar@gmail.com,01744805938,90,Elderly
C00104,Sifat Sheikh,Male,22,,,12/4/2022 12:23,Silver,tamim.mollik@outlook.com,00000000000,46,Young
C00105,Tanvir Khan,Male,28,,,2/12/2023 17:06,Platinum,adib.jahan@yahoo.com,00000000000,88,Young
C00106,Nayeem Hossain,Female,74,Lakshmipur,Chattogram,6/5/2025 16:44,Silver,rumana.mollik@gmail.com,01782073659,59,Elderly
C00107,Ayesha Patwary,Female,28, Cumilla ,,3/30/2023 18:17,Gold,jannat.rahman@gmail.com,01857443097,66,Young
C00108,Tanvir Miah,Female,41,Dhaka,Dhaka,1/13/2021 10:28,Silver,tasnima.hossain@gmail.com,01523985262,47,Professional
C00109,Mahin Miah,Male,71,Chittagong,Chattogram,6/20/2023 18:03,Bronze,rafi.khan@yahoo.com,01672635840,38,Elderly
C00110,Karim Chowdhury,Female,18,,,4/14/2021 8:02,Silver,arif.sheikh@outlook.com,01553091956,57,Young
C00111,Sakib Uddin,Male,29,Lakshmipur,Chattogram,8/8/2023 5:56,Platinum,imran.islam@outlook.com,01663003999,85,Young
C00112,Imran Islam,Male,20,Tangail,Dhaka,9/12/2024 14:01,Silver,muntasir.uddin@outlook.com,01849933670,49,Young
C00113,Rafi Roy,Female,54,Shariatpur,Dhaka,7/14/2021 4:32,Platinum,nayeem.amin@gmail.com,01647466459,91,Professional
C00114,Hasan Das,Male,18,Dhaka,Dhaka,5/7/2021 0:32,Silver,rumana.das@yahoo.com,01573122300,52,Young
C00115,Mahin Roy,Male,29,Gazipur,Dhaka,1/27/2023 1:52,Silver,raisa.islam@yahoo.com,01757169771,43,Young
C00116,Adib Uddin,Male,24,Munshiganj,Dhaka,8/18/2023 3:59,Gold,sadia.sarker@gmail.com,01588101775,67,Young
C00117,Imran Ahmed,Female,24,Chittagong,Chattogram,5/8/2021 7:19,Gold,nusrat.ahmed@yahoo.com,01876910137,74,Young
C00118,Tamim Mollik,Male,47,,,10/10/2022 0:04,Gold,tamim.ahmed@yahoo.com,01866519968,65,Professional
C00119,Nafis Amin,Male,23,Feni,Chattogram,3/23/2025 13:12,Gold,muntasir.nahar@gmail.com,01480468499,65,Young
C00120,Sakib Roy,Male,54,Dhaka,Dhaka,2/9/2024 23:37,Platinum,sakib.chowdhury@outlook.com,01355767765,91,Professional
C00121,Adib Nahar,Female,58,Madaripur,Dhaka,11/5/2023 5:05,Gold,sami.ahmed@outlook.com,01463604471,64,Elderly
C00122,Raisa Ahmed,Male,47,Tangail,Dhaka,7/28/2021 0:57,Silver,tanjim.talukder@outlook.com,01496792093,54,Professional
C00123,Sami Uddin,Female,35,Brahmanbaria,Chattogram,5/9/2025 10:28,Silver,ayesha.jahan@gmail.com,01384017072,42,Professional
C00124,Ayesha Talukder,Female,6,Rajbari,Dhaka,3/23/2024 0:12,Platinum,imran.sarker@gmail.com,01799632304,85,Kids
C00125,Adib Sheikh,Male,25,Munshiganj,Dhaka,5/4/2023 11:42,Silver,mim.ahmed@outlook.com,01573453344,54,Young
C00126,Rumana Rahman,Male,26,Dhaka,Dhaka,5/6/2024 6:21,Silver,raisa.roy@outlook.com,01370922333,56,Young
C00127,Tamim Jahan,Male,28,Chandpur,Chattogram,11/1/2021 8:37,Platinum,karim.amin@yahoo.com,01675379175,81,Young
C00128,Tanvir Patwary,Male,70,Lakshmipur,Chattogram,9/8/2024 20:36,Platinum,shaila.islam@gmail.com,01853789375,99,Elderly
C00129,Sadia Amin,Male,29,Cox's Bazar,Chattogram,8/19/2022 13:20,Gold,nayeem.nahar@gmail.com,01574170938,67,Young
C00130,Sami Karim,Female,26,Chandpur,Chattogram,3/23/2021 15:41,Silver,shaila.miah@outlook.com,01942344736,60,Young
C00131,Nabil Islam,Male,35,Bandarban,Chattogram,4/10/2022 21:57,Gold,karim.islam@outlook.com,01890044052,62,Professional
C00132,Mahin Miah,Male,57, Cumilla ,,12/28/2022 5:44,Silver,rafi.rahman@outlook.com,01770101091,54,Elderly
C00133,Shaila Mollik,Male,32, Cumilla ,,5/25/2023 12:41,Silver,nabil.roy@yahoo.com,01787513680,56,Professional
C00134,Sakib Jahan,Male,25,Dhaka,Dhaka,3/31/2022 22:44,Silver,sakib.jahan@gmail.com,01577129544,56,Young
C00135,Rumana Talukder,Male,20,Manikganj,Dhaka,4/18/2025 8:30,Gold,sifat.mollik@gmail.com,01763244167,78,Young
C00136,Sami Nahar,Male,22,,,6/9/2022 21:10,Silver,mahin.roy@gmail.com,01428424688,60,Young
C00137,Farhan Islam,Female,31,Feni,Chattogram,8/20/2021 20:47,Platinum,nayeem.islam@yahoo.com,01394925351,86,Professional
C00138,Sami Amin,Male,41,Chandpur,Chattogram,3/19/2022 6:30,Silver,tamim.das@yahoo.com,01859393536,60,Professional
C00139,Tanjim Patwary,Male,34,Kishoreganj,Dhaka,3/7/2023 9:34,Silver,nabil.sarker@yahoo.com,01616450980,55,Professional
C00140,Sakib Hossain,Female,23,Cox's Bazar,Chattogram,3/31/2021 1:00,Platinum,tanvir.jahan@outlook.com,01527757091,85,Young
C00141,Nusrat Uddin,Female,67,Gazipur,Dhaka,7/2/2021 11:32,Gold,jannat.talukder@outlook.com,01651520547,62,Elderly
C00142,Rafi Jahan,Female,29,Gazipur,Dhaka,11/9/2021 13:05,Silver,mahin.rahman@gmail.com,01964089092,60,Young
C00143,Nabil Das,Male,21,Shariatpur,Dhaka,2/18/2023 5:08,Gold,nusrat.nahar@yahoo.com,01920211195,63,Young
C00144,Muntasir Sheikh,Male,38,Shariatpur,Dhaka,3/8/2026 10:38,Platinum,mim.miah@gmail.com,01615582574,88,Professional
C00145,Nafis Sarker,Male,27,Madaripur,Dhaka,3/4/2024 1:18,Gold,mim.sheikh@outlook.com,01987072494,68,Young
C00146,Muntasir Patwary,Female,29,Tangail,Dhaka,6/12/2021 16:32,Gold,tanvir.amin@yahoo.com,01732207246,62,Young
C00147,Tamim Roy,Female,22,Chandpur,Chattogram,5/18/2021 2:55,Silver,hasan.patwary@outlook.com,00000000000,58,Young
C00148,Farhan Nahar,Male,8,Faridpur,Dhaka,7/25/2021 12:12,Platinum,tasnima.hossain@outlook.com,01848416183,82,Kids
C00149,Sakib Karim,Male,26,Kishoreganj,Dhaka,5/13/2021 11:36,Gold,nusrat.ahmed@gmail.com,01747406384,66,Young
C00150,Hasan Khan,Male,49,Chandpur,Chattogram,10/2/2023 8:12,Silver,tanvir.sarker@gmail.com,01373972405,54,Professional
C00151,Sifat Karim,Male,25,Lakshmipur,Chattogram,12/23/2024 6:05,Gold,muntasir.patwary@outlook.com,01435102322,79,Young
C00152,Sifat Jahan,Male,68,Khagrachari,Chattogram,5/14/2023 17:49,Silver,sami.miah@yahoo.com,01560991019,45,Elderly
C00153,Rafi Talukder,Female,33,Dhaka,Dhaka,3/22/2023 2:31,Gold,mim.sarker@gmail.com,01783321559,63,Professional
C00154,Hasan Talukder,Male,25,Shariatpur,Dhaka,3/28/2024 5:10,Gold,farhan.rahman@yahoo.com,01745805531,79,Young
C00155,Sadia Sarker,Male,31,Cox's Bazar,Chattogram,11/30/2022 13:09,Platinum,rumana.chowdhury@outlook.com,01952751630,82,Professional
C00156,Fahim Talukder,Female,40,Gazipur,Dhaka,5/27/2025 20:23,Platinum,mahin.sheikh@yahoo.com,00000000000,85,Professional
C00157,Tanjim Nahar,Male,28,Brahmanbaria,Chattogram,9/26/2024 9:41,Gold,tanvir.uddin@gmail.com,01936165587,64,Young
C00158,Tasnima Roy,Female,60,Munshiganj,Dhaka,5/9/2026 22:31,Platinum,shuvo.patwary@yahoo.com,01441681597,90,Elderly
C00159,Raisa Hossain,Male,26,Brahmanbaria,Chattogram,6/18/2021 12:13,Silver,jannat.talukder@gmail.com,01527323482,50,Young
C00160,Tanvir Islam,Female,35,Dhaka,Dhaka,5/12/2023 11:31,Bronze,sadia.rahman@yahoo.com,01326887790,35,Professional
C00161,Mahin Sarker,Male,20,Kishoreganj,Dhaka,9/6/2025 2:43,Silver,muntasir.rahman@yahoo.com,01526955879,57,Young
C00162,Tamim Bhuiyan,Male,20,Kishoreganj,Dhaka,8/29/2024 22:25,Platinum,jannat.jahan@yahoo.com,01494896290,84,Young
C00163,Sadia Hossain,Male,47,Munshiganj,Dhaka,3/22/2025 13:07,Silver,nafis.uddin@gmail.com,00000000000,42,Professional
C00164,Rumana Amin,Female,71,Dhaka,Dhaka,7/21/2023 0:05,Bronze,fahim.nahar@gmail.com,01749253821,36,Elderly
C00165,Hasan Sarker,Male,38,Narayanganj,Dhaka,2/14/2023 14:43,Bronze,raisa.das@outlook.com,01811524038,31,Professional
C00166,Imran Amin,Male,29,Shariatpur,Dhaka,2/5/2025 19:13,Gold,imran.amin@gmail.com,01847447898,75,Young
C00167,Tanvir Islam,Male,18,Dhaka,Dhaka,7/21/2023 18:58,Bronze,karim.bhuiyan@gmail.com,01896609207,36,Young
C00168,Rafi Hossain,Male,24,Kishoreganj,Dhaka,3/21/2023 11:50,Gold,sifat.amin@gmail.com,01820300726,72,Young
C00169,Tanvir Roy,Female,20,Dhaka,Dhaka,3/2/2023 15:48,Silver,arif.roy@yahoo.com,01927124519,56,Young
C00170,Shuvo Jahan,Female,28,Rangamati,Chattogram,9/3/2021 14:18,Silver,fahim.talukder@yahoo.com,01985296027,48,Young
C00171,Rafi Das,Female,49,Dhaka,Dhaka,4/11/2025 0:54,Silver,sakib.karim@outlook.com,01596084920,44,Professional
C00172,Fahim Miah,Male,31,Bandarban,Chattogram,8/20/2025 15:00,Gold,karim.karim@outlook.com,01688058919,66,Professional
C00173,Mahin Sheikh,Female,40,Munshiganj,Dhaka,2/27/2021 15:21,Silver,mahin.sheikh@yahoo.com,01769417985,48,Professional
C00174,Mahin Das,Female,26,Kishoreganj,Dhaka,3/11/2023 20:16,Gold,rahim.karim@outlook.com,01397316225,62,Young
C00175,Rumana Nahar,Male,24,Feni,Chattogram,8/27/2024 17:17,Gold,muntasir.rahman@yahoo.com,01429193624,69,Young
C00176,Rumana Hossain,Male,42,Brahmanbaria,Chattogram,10/26/2021 8:05,Gold,tamim.miah@outlook.com,01677970875,73,Professional
C00177,Sifat Sheikh,Female,19,Bandarban,Chattogram,8/25/2022 11:09,Gold,sifat.roy@outlook.com,01888307928,79,Young
C00178,Rumana Uddin,Female,24,Dhaka,Dhaka,3/27/2026 21:30,Gold,nusrat.chowdhury@yahoo.com,01723296022,65,Young
C00179,Shaila Chowdhury,Male,32,Gopalganj,Dhaka,3/30/2025 17:45,Silver,rumana.uddin@gmail.com,01856766891,43,Professional
C00180,Karim Karim,Female,21,Gopalganj,Dhaka,10/10/2025 16:07,Gold,tanjim.chowdhury@outlook.com,01745290752,70,Young
C00181,Sakib Sarker,Female,20,Narayanganj,Dhaka,5/11/2026 0:15,Gold,tamim.rahman@gmail.com,01534112844,74,Young
C00182,Shaila Jahan,Female,25,Lakshmipur,Chattogram,9/16/2024 15:01,Silver,ayesha.uddin@gmail.com,01544498879,59,Young
C00183,Muntasir Chowdhury,Female,23,Munshiganj,Dhaka,7/9/2022 14:36,Gold,arif.sarker@gmail.com,01673143620,73,Young
C00184,Tanjim Sarker,Male,41,Madaripur,Dhaka,3/10/2026 19:31,Gold,adib.das@outlook.com,01427874007,68,Professional
C00185,Karim Miah,Male,11,Dhaka,Dhaka,6/6/2023 8:28,Bronze,sifat.bhuiyan@gmail.com,01415571540,39,Kids
C00186,Hasan Das,Female,40,Manikganj,Dhaka,12/8/2023 16:12,Gold,farhan.chowdhury@outlook.com,01610311120,71,Professional
C00187,Nayeem Sheikh,Female,27,Dhaka,Dhaka,12/25/2023 14:39,Platinum,nafis.ahmed@gmail.com,01532501563,81,Young
C00188,Muntasir Patwary,Male,12,Manikganj,Dhaka,12/27/2023 12:57,Silver,hasan.rahman@gmail.com,01780987892,56,Kids
C00189,Raisa Jahan,Female,19,Rangamati,Chattogram,1/1/2024 11:39,Silver,farhan.karim@yahoo.com,01932345395,59,Young
C00190,Rafi Karim,Female,70,Shariatpur,Dhaka,3/25/2025 20:26,Silver,ayesha.islam@gmail.com,01557202529,55,Elderly
C00191,Fahim Talukder,Male,18,Faridpur,Dhaka,11/8/2021 6:17,Gold,shuvo.jahan@gmail.com,01475536457,62,Young
C00192,Muntasir Roy,Male,46,Kishoreganj,Dhaka,5/27/2023 21:52,Gold,imran.chowdhury@gmail.com,01343074272,78,Professional
C00193,Tamim Sheikh,Male,35,,,3/5/2024 11:50,Silver,raisa.rahman@yahoo.com,01976050860,58,Professional
C00194,Arif Hossain,Male,21,Dhaka,Dhaka,1/13/2024 17:27,Platinum,arif.hossain@gmail.com,01610334480,100,Young
C00195,Ayesha Karim,Female,10,Lakshmipur,Chattogram,12/10/2024 3:18,Silver,rumana.jahan@outlook.com,01850122130,54,Kids
C00196,Shuvo Hossain,Male,34,Tangail,Dhaka,10/27/2022 19:45,Platinum,mim.islam@gmail.com,00000000000,87,Professional
C00197,Arif Amin,Female,43,Narsingdi,Dhaka,2/20/2026 17:29,Gold,raisa.jahan@yahoo.com,01920608892,72,Professional
C00198,Sifat Hossain,Male,27,Chittagong,Chattogram,1/30/2021 4:47,Gold,farhan.uddin@yahoo.com,01974049048,64,Young
